"q1","q2","alternatywa","construction","typ","typ2"
"A. Braciszek nie je kanapki.","B. Braciszek zrobił kanapkę, ale jej nie je.","1","complex-but","ale","ale"
"A. Braciszek zrobił kanapkę i jej nie je.","B. Braciszek zrobił kanapkę, ale jej nie je.","2","complex-but","ale","ale"
"A. Braciszek zrobił kanapkę. Braciszek jej nie je.","B. Braciszek zrobił kanapkę, ale jej nie je.","2","complex-but","ale","ale"
"A. Szukam misia i nie mogę znaleźć.","B. Szukam misia, ale nie mogę go znaleźć.","2","complex-but","ale","ale"
"A. Nie mogę znaleźć misia.","B. Szukam misia, ale nie mogę go znaleźć.","1","complex-but","ale","ale"
"A. Szukam misia. Nie mogę znaleźć.","B. Szukam misia, ale nie mogę go znaleźć.","2","complex-but","ale","ale"
"Czy Twoje dziecko używa słowa ""ale"", żeby połączyć dwa zdania, np. ""Szukam misia, ale nie mogę go znaleźć""?",NA,"0","complex-but","ale","ale"
"A. Chcę do sklepu.","B. Chcę iść do sklepu.","1","infinitive","bezokolicznik","bezokolicznik"
"A. Idę do sklepu.","B. Chcę iść do sklepu.","1","infinitive","bezokolicznik","bezokolicznik"
"A. Tata kupi soczek.","B. Tata jedzie kupić soczek.","1","infinitive","bezokolicznik","bezokolicznik"
"A. Tata jedzie po soczek.","B. Tata jedzie kupić soczek.","1","infinitive","bezokolicznik","bezokolicznik"
"A. Naklejki są krzywo.","B. Naklejki są przyklejone krzywo.","1","passive","bierna","bierna"
"A. Zabawka jest pod łóżkiem.","B. Zabawka jest schowana pod łóżkiem.","1","passive","bierna","bierna"
"A. Mama jest zmęczona i śpi.","B. Mama śpi, bo jest zmęczona.","2","complex-because","bo","bo"
"A. Mama jest zmęczona. Śpi.","B. Mama śpi, bo jest zmęczona.","2","complex-because","bo","bo"
"A. Mama śpi.","B. Mama śpi, bo jest zmęczona.","1","complex-because","bo","bo"
"A. Pada deszcz i nie wyjdziemy.","B. Nie wyjdziemy, bo pada deszcz.","2","complex-because","bo","bo"
"A. Pada deszcz. Nie wyjdziemy.","B. Nie wyjdziemy, bo pada deszcz.","2","complex-because","bo","bo"
"A. Nie wyjdziemy.","B. Nie wyjdziemy, bo pada deszcz.","1","complex-because","bo","bo"
"A. Jestem duży(-a). Sam(-a) założę spodnie.","B. Sam(-a) założę spodnie, bo jestem duży(-a).","2","complex-because","bo","bo"
"A. Jestem duży(-a) i sam(-a) założę spodnie.","B. Sam(-a) założę spodnie, bo jestem duży(-a).","2","complex-because","bo","bo"
"A. Sam(-a) założę spodnie.","B. Sam(-a) założę spodnie, bo jestem duży(-a).","1","complex-because","bo","bo"
"Czy Twoje dziecko używa słowa ""bo"" (""ponieważ""), żeby połączyć dwa zdania, np. ""Nie wyjdziemy, bo pada deszcz""?",NA,"0","complex-because","bo","bo"
"A. Biegam.","B. Biegałem(-am).","1","past","czas przeszły","czas przeszły"
"A. Piję.","B. Piłem(-am).","1","past","czas przeszły","czas przeszły"
"A. Jem kanapkę.","B. Jem kanapkę i piję wodę.","1","complex-and","i","i"
"A. Jem kanapkę. Piję wodę.","B. Jem kanapkę i piję wodę.","2","complex-and","i","i"
"A. Jestem wesoła(-y). Śpiewam piosenki.","B. Jestem wesoła(-y) i śpiewam piosenki.","2","complex-and","i","i"
"A. Jestem wesoła(-y).","B. Jestem wesoła(-y) i śpiewam piosenki.","1","complex-and","i","i"
"A. Przyjedzie ciocia.","B. Przyjedzie ciocia i będziemy się bawić.","1","complex-and","i","i"
"A. Przyjedzie ciocia. Będziemy się bawić.","B. Przyjedzie ciocia i będziemy się bawić.","2","complex-and","i","i"
"Czy Twoje dziecko używa słowa ""i"", żeby połączyć dwa zdania, np. ""Jem kanapkę i piję soczek""?",NA,"0","complex-and","i","i"
"A. Jechałem(-am) do przedszkola i śpiewałem(-am) piosenkę.","B. Jadąc do przedszkola, śpiewałem(-am) piosenkę.","2","participle","imiesłów","imiesłów"
"A. Jechałem(-am) do przedszkola. Śpiewałem(-am) piosenkę.","B. Jadąc do przedszkola, śpiewałem(-am) piosenkę.","2","participle","imiesłów","imiesłów"
"A. Wracałem(-am) do domu i widziałem(-am) kolegę.","B. Wracając do domu, widziałem(-am) kolegę.","2","participle","imiesłów","imiesłów"
"A. Wracałem(-am) do domu. Widziałem(-am) kolegę.","B. Wracając do domu, widziałem(-am) kolegę.","2","participle","imiesłów","imiesłów"
"Czy Twoje dziecko używa form czasowników zakończonych na ""-ąc"", np. ""wracając"", ""rozmawiając"", ""jadąc""?",NA,"0","participle","imiesłów","imiesłów"
"A. Był śnieg i lepiłem(-am) bałwana.","B. Jak był śnieg, to lepiłem(-am) bałwana.","2","complex-when","jak","jak"
"A. Lepiłem(-am) bałwana.","B. Jak był śnieg, to lepiłem(-am) bałwana.","1","complex-when","jak","jak"
"A. Był śnieg. Lepiłem(-am) bałwana.","B. Jak był śnieg, to lepiłem(-am) bałwana.","2","complex-when","jak","jak"
"A. Tata przyjdzie i nakarmi kota.","B. Jak tata przyjdzie, to nakarmi kota.","2","complex-when","jak","jak"
"A. Tata nakarmi kota.","B. Jak tata przyjdzie, to nakarmi kota.","1","complex-when","jak","jak"
"A. Tata przyjdzie. Nakarmi kota.","B. Jak tata przyjdzie, to nakarmi kota.","2","complex-when","jak","jak"
"A. Wrócę do domu i zjem obiad.","B. Zjem obiad, jak wrócę do domu.","2","complex-when","jak","jak"
"A. W domu zjem obiad.","B. Zjem obiad, jak wrócę do domu.","1","complex-when","jak","jak"
"A. Wrócę do domu. Zjem obiad.","B. Zjem obiad, jak wrócę do domu.","2","complex-when","jak","jak"
"Czy Twoje dziecko używa słowa ""jak"" i/lub ""kiedy"", by łączyć dwa zdania, np. ""Jak wrócę do domu, to zjem obiad""?",NA,"0","complex-when","jak","jak"
"A. Dostanę misia i będę się cieszyć.","B. Będę się cieszyć, jeśli dostanę misia.","2","complex-if","jeśli","jeśli"
"A. Dostanę misia. Będę się cieszyć.","B. Będę się cieszyć, jeśli dostanę misia.","2","complex-if","jeśli","jeśli"
"A. Będę się cieszyć.","B. Będę się cieszyć, jeśli dostanę misia.","1","complex-if","jeśli","jeśli"
"A. Będzie padać. Zostaniemy w domu.","B. Jeśli będzie padać, zostaniemy w domu.","2","complex-if","jeśli","jeśli"
"A. Zostaniemy w domu.","B. Jeśli będzie padać, zostaniemy w domu.","1","complex-if","jeśli","jeśli"
"A. Będzie padać i zostaniemy w domu.","B. Jeśli będzie padać, zostaniemy w domu.","2","complex-if","jeśli","jeśli"
"A. Będzie ciepło i pójdę na spacer.","B. Pójdę na spacer, jeśli będzie ciepło.","2","complex-if","jeśli","jeśli"
"A. Będzie ciepło. Pójdę na spacer.","B. Pójdę na spacer, jeśli będzie ciepło.","2","complex-if","jeśli","jeśli"
"A. Pójdę na spacer.","B. Pójdę na spacer, jeśli będzie ciepło.","1","complex-if","jeśli","jeśli"
"Czy Twoje dziecko używa słowa ""jeśli"" (""jeżeli""), żeby połączyć dwa zdania, np. ""Pójdę na spacer, jeśli będzie ciepło""?",NA,"0","complex-if","jeśli","jeśli"
"A. Czytam bajkę.","B. Czytam bajkę o zwierzątkach.","1","locative_plural","miejscownik, mnoga","miejscownik, mnoga"
"A. Ptaszki śpiewają.","B. Ptaszki śpiewają na drzewach.","1","locative_plural","miejscownik, mnoga","miejscownik, mnoga"
"A. Widziałem(-am) zabawki.","B. Widziałem(-am) zabawki w pudełkach.","1","locative_plural","miejscownik, mnoga","miejscownik, mnoga"
"Czy Twoje dziecko używa form rzeczowników odpowiadających na pytania ""o/na/w kim? czym?"", zakończonych na ""-ach"", np. ""o zabawkach"", ""na drzewach""?",NA,"0","locative_plural","miejscownik, mnoga","miejscownik, mnoga"
"A. Mam klocki.","B. Mam klocki w koszyku.","1","locative_singular","miejscownik, pojedyncza","miejscownik, pojedyncza"
"A. Mama czyta bajkę.","B. Mama czyta bajkę o misiu.","1","locative_singular","miejscownik, pojedyncza","miejscownik, pojedyncza"
"A. Tata śpi.","B. Tata śpi na łóżku.","1","locative_singular","miejscownik, pojedyncza","miejscownik, pojedyncza"
"Czy Twoje dziecko używa form rzeczowników odpowiadających na pytania ""o/na/w kim? czym?"", zakończonych na ""-u"", np. ""w kubku"", ""na łóżku""?",NA,"0","locative_singular","miejscownik, pojedyncza","miejscownik, pojedyncza"
"A. Zjemy kolację.","B. Musimy zjeść kolację.","1","modal","modal","modal"
"A. Idę do przedszkola.","B. Muszę iść do przedszkola.","1","modal","modal","modal"
"A. Nie otworzę.","B. Nie mogę tego otworzyć.","1","modal","modal","modal"
"Czy Twoje dziecko używa słów ""mogę"" albo ""musimy"" itp. w zdaniach takich jak ""Mogę zjeść"", ""Musimy iść""?",NA,"0","modal","modal","modal"
"A. Babcia przyjedzie.","B. Babcia powiedziała, że przyjedzie.","1","indirect","mowa zależna","mowa zależna"
"A. Babcia powiedziała: przyjadę.","B. Babcia powiedziała, że przyjedzie.","2","indirect","mowa zależna","mowa zależna"
"A. Tata powiedział: lubię pierogi.","B. Tata powiedział, że lubi pierogi.","2","indirect","mowa zależna","mowa zależna"
"A. Tata lubi pierogi.","B. Tata powiedział, że lubi pierogi.","1","indirect","mowa zależna","mowa zależna"
"Czy Twoje dziecko opowiada o tym, co ktoś powiedział, mówiąc ""... powiedział(a), że...""?",NA,"0","indirect","mowa zależna","mowa zależna"
"A. Chcę jogurt i płatki.","B. Chcę jogurt z płatkami.","1","instrumental_plural","narzędnik, mnoga","narzędnik, mnoga"
"A. Chcę jogurt.","B. Chcę jogurt z płatkami.","1","instrumental_plural","narzędnik, mnoga","narzędnik, mnoga"
"A. Mam worek i buty.","B. Mam worek z butami.","1","instrumental_plural","narzędnik, mnoga","narzędnik, mnoga"
"A. Mam worek.","B. Mam worek z butami.","1","instrumental_plural","narzędnik, mnoga","narzędnik, mnoga"
"Czy Twoje dziecko używa form rzeczowników odpowiadających na pytania ""kim? czym?"", zakończonych na ""-ami"", np. ""lalkami"", ""samochodami"", ""płatkami""?",NA,"0","instrumental_plural","narzędnik, mnoga","narzędnik, mnoga"
"A. Jedziemy do sklepu.","B. Jedziemy do sklepu samochodem.","1","instrumental_singular","narzędnik, pojedyncza","narzędnik, pojedyncza"
"A. Jem kanapkę.","B. Jem kanapkę z żółtym serem.","1","instrumental_singular","narzędnik, pojedyncza","narzędnik, pojedyncza"
"A. Tata rozmawia.","B. Tata rozmawia z panem.","1","instrumental_singular","narzędnik, pojedyncza","narzędnik, pojedyncza"
"Czy Twoje dziecko używa form rzeczowników odpowiadających na pytania ""kim? czym?"", zakończonych na ""-em"", np. ""panem"", ""serem""?",NA,"0","instrumental_singular","narzędnik, pojedyncza","narzędnik, pojedyncza"
"A. Chcę banana.","B. Chciał(a)bym banana.","1","subjunctive","przypuszczający","przypuszczający"
"A. Chcę kanapkę z serem.","B. Chciał(a)bym kanapkę z serem.","1","subjunctive","przypuszczający","przypuszczający"
"A. Zaśpiewasz piosenkę?","B. Zaśpiewałabyś piosenkę?","1","subjunctive","przypuszczający","przypuszczający"
"A. Zaśpiewaj.","B. Zaśpiewałabyś piosenkę?","1","subjunctive","przypuszczający","przypuszczający"
"Czy Twoje dziecko dodaje ""-bym"", ""-byś"", ""-byście"" itp. do czasowników., np. ""Chciałbym cukierka""?",NA,"0","subjunctive","przypuszczający","przypuszczający"
"A. Dzisiaj umyjemy główkę.","B. Dzisiaj będziemy myć główkę.","1","future_continuous","przyszły złożony","przyszły złożony"
"A. Dzisiaj myjemy główkę.","B. Dzisiaj będziemy myć główkę.","1","future_continuous","przyszły złożony","przyszły złożony"
"A. Oni pojadą do babci.","B. Oni będą jechać do babci.","1","future_continuous","przyszły złożony","przyszły złożony"
"A. Oni jadą do babci.","B. Oni będą jechać do babci.","1","future_continuous","przyszły złożony","przyszły złożony"
"A. Wujek śpiewa piosenkę.","B. Wujek będzie śpiewać piosenkę.","1","future_continuous","przyszły złożony","przyszły złożony"
"A. Wujek zaśpiewa piosenkę.","B. Wujek będzie śpiewać piosenkę.","1","future_continuous","przyszły złożony","przyszły złożony"
"Czy Twoje dziecko używa słów ""będę"", ""będą"", ""będziemy"" itp. w zdaniach takich jak ""Oni będą jechać do babci"", ""Kasia będzie śpiewać piosenkę""?",NA,"0","future_continuous","przyszły złożony","przyszły złożony"
"A. Mama rysuje kotka.","B. Mama narysuje kotka.","1","future_simple","przyszły, prosty","przyszły, prosty"
"A. Oni idą do sklepu.","B. Oni pójdą do sklepu.","1","future_simple","przyszły, prosty","przyszły, prosty"
"A. Wieczorem jemy kolację.","B. Wieczorem zjemy kolację.","1","future_simple","przyszły, prosty","przyszły, prosty"
"A. Chowamy klocki.","B. Schowajmy klocki.","1","imperative","rozkazujący","rozkazujący"
"A. Schowamy klocki.","B. Schowajmy klocki.","1","imperative","rozkazujący","rozkazujący"
"A. Siadacie tutaj.","B. Siadajcie tutaj.","1","imperative","rozkazujący","rozkazujący"
"A. Umyjemy ząbki.","B. Umyjmy ząbki.","1","imperative","rozkazujący","rozkazujący"
"A. Myjemy ząbki.","B. Umyjmy ząbki.","1","imperative","rozkazujący","rozkazujący"
"A. Jest ładna pogoda i pójdziemy na spacer.","B. Jest ładna pogoda, więc pójdziemy na spacer.","2","complex-so","więc","więc"
"A. Jest ładna pogoda. Pójdziemy na spacer.","B. Jest ładna pogoda, więc pójdziemy na spacer.","2","complex-so","więc","więc"
"A. Jest ładna pogoda.","B. Jest ładna pogoda, więc pójdziemy na spacer.","1","complex-so","więc","więc"
"A. Jestem głodny(-a) i zjem banana.","B. Jestem głodny(-a), więc zjem banana.","2","complex-so","więc","więc"
"A. Jestem głodny(-a). Zjem banana.","B. Jestem głodny(-a), więc zjem banana.","2","complex-so","więc","więc"
"A. Jestem głodny(-a).","B. Jestem głodny(-a), więc zjem banana.","1","complex-so","więc","więc"
"A. Jestem zmęczony(-a). Idę spać.","B. Jestem zmęczony(-a), więc idę spać.","2","complex-so","więc","więc"
"A. Jestem zmęczony(-a) i idę spać.","B. Jestem zmęczony(-a), więc idę spać.","2","complex-so","więc","więc"
"A. Jestem zmęczony(-a).","B. Jestem zmęczony(-a), więc idę spać.","1","complex-so","więc","więc"
"Czy Twoje dziecko używa słowa ""więc"", żeby połączyć dwa zdania, np. ""Jest ładna pogoda, więc pójdziemy na spacer""?",NA,"0","complex-so","więc","więc"
"Czy Twoje dziecko używa słów ""która"", ""które"" (""co"") itp., żeby połączyć dwa zdania, np. ""Jem ciasto, które zrobiła mama""?",NA,"0","complex-relative","względne, oo","względne"
"Czy Twoje dziecko używa słów ""która"", ""które"" (""co"") itp., żeby połączyć dwa zdania, np. ""Jem ciasto, które zrobiła mama""?",NA,"0","complex-relative","względne, os","względne"
"Czy Twoje dziecko używa słów ""która"", ""które"" (""co"") itp., żeby połączyć dwa zdania, np. ""Jem ciasto, które zrobiła mama""?",NA,"0","complex-relative","względne, so","względne"
"Czy Twoje dziecko używa słów ""która"", ""które"" (""co"") itp., żeby połączyć dwa zdania, np. ""Jem ciasto, które zrobiła mama""?",NA,"0","complex-relative","względne, ss","względne"
"A. Tata zrobił zupę. Jem zupę.","B. Jem zupę, którą zrobił tata.","2","complex-relative-oo","względne, oo","względne"
"A. Jem zupę.","B. Jem zupę, którą zrobił tata.","1","complex-relative-oo","względne, oo","względne"
"A. Babcia dała mi książeczkę. Oglądam książeczkę.","B. Oglądam książeczkę, którą dała mi babcia.","2","complex-relative-oo","względne, oo","względne"
"A. Oglądam książeczkę.","B. Oglądam książeczkę, którą dała mi babcia.","1","complex-relative-oo","względne, oo","względne"
"A. Widzę ptaszki. Latają po niebie.","B. Widzę ptaszki, które latają po niebie.","2","complex-relative-os","względne, os","względne"
"A. Widzę ptaszki.","B. Widzę ptaszki, które latają po niebie.","1","complex-relative-os","względne, os","względne"
"A. Widziałem(-am) psa.","B. Widziałem(-am) psa, który szczekał.","1","complex-relative-os","względne, os","względne"
"A. Widziałem psa. Pies szczekał.","B. Widziałem(-am) psa, który szczekał.","2","complex-relative-os","względne, os","względne"
"A. Mama karmi ptaszka. Ptaszek jest żółty.","B. Ptaszek, którego karmi mama, jest żółty.","2","complex-relative-so","względne, so","względne"
"A. Ptaszek jest żółty.","B. Ptaszek, którego karmi mama, jest żółty.","1","complex-relative-so","względne, so","względne"
"A. Mama kupiła zabawkę. Zabawka lezy w szafie.","B. Zabawka, którą kupiła mama, leży w szafie.","2","complex-relative-so","względne, so","względne"
"A. Zabawka leży w szafie.","B. Zabawka, którą kupiła mama, leży w szafie.","1","complex-relative-so","względne, so","względne"
"A. Kolega rozlał wodę. Wytarł podłogę.","B. Kolega, który rozlał wodę, wytarł podłogę.","2","complex-relative-ss","względne, ss","względne"
"A. Kolega wytarł podłogę.","B. Kolega, który rozlał wodę, wytarł podłogę.","1","complex-relative-ss","względne, ss","względne"
"A. Pani uśmiecha się.","B. Pani, która ma pieska, uśmiecha się.","1","complex-relative-ss","względne, ss","względne"
"A. Pani ma pieska. Pani uśmiecha się.","B. Pani, która ma pieska, uśmiecha się.","2","complex-relative-ss","względne, ss","względne"
"A. Myję nogi.","B. Myję nogi, żeby były czyste.","1","complex-sothat","żeby","żeby"
"A. Myję nogi. Będą czyste.","B. Myję nogi, żeby były czyste.","2","complex-sothat","żeby","żeby"
"A. Podlałem(-am) kwiaty.","B. Podlałem(-am) kwiaty, żeby urosły.","1","complex-sothat","żeby","żeby"
"A. Zapalę światło.","B. Zapalę światło, aby widzieć.","1","complex-sothat","żeby","żeby"
"Czy Twoje dziecko używa słowa ""żeby"" (""aby"") w zdaniach takich jak ""Myję nogi, żeby były czyste""?",NA,"0","complex-sothat","żeby","żeby"
"A. Narysuj misia.","B. Chcę, żebyś narysowała misia.","1","complex-sothat_finite","żebyś","żebyś"
"A. Odkręć wodę. Umyję rączki.","B. Odkręć wodę, żebym umył(-a) rączki.","2","complex-sothat_finite","żebyś","żebyś"
"A. Odkręć wodę.","B. Odkręć wodę, żebym umył(-a) rączki.","1","complex-sothat_finite","żebyś","żebyś"
"A. Zapalę światło. Będziesz widział.","B. Zapalę światło, żebyś widział.","2","complex-sothat_finite","żebyś","żebyś"
"A. Zapalę światło.","B. Zapalę światło, żebyś widział.","1","complex-sothat_finite","żebyś","żebyś"
"Czy Twoje dziecko używa słów ""żebym"", ""żebyś"", ""abym"", ""abyś"" itp. w zdaniach takich jak: ""Chcę, żebyś narysowała misia"", ""Zapal światło, abym mógł widzieć""?",NA,"0","complex-sothat_finite","żebyś","żebyś"
